"","No","Karakter","Angka"
"1",1,"A",5
"2",2,"B",11
"3",3,"C",11
"4",4,"D",23
"5",5,"A",8
"6",6,"B",31
"7",7,"C",6
"8",8,"D",21
"9",9,"A",15
"10",10,"B",26
"11",11,"C",16
"12",12,"D",11
"13",13,"A",-4
"14",14,"B",12
"15",15,"C",3
"16",16,"D",22
"17",17,"A",8
"18",18,"B",8
"19",19,"C",3
"20",20,"D",14
"21",21,"A",9
"22",22,"B",14
"23",23,"C",7
"24",24,"D",-1
"25",25,"A",2
"26",26,"B",10
"27",27,"C",2
"28",28,"D",22
"29",29,"A",6
"30",30,"B",2
"31",31,"C",-3
"32",32,"D",26
"33",33,"A",6
"34",34,"B",-1
"35",35,"C",20
"36",36,"D",11
"37",37,"A",6
"38",38,"B",21
"39",39,"C",25
"40",40,"D",26
"41",41,"A",6
"42",42,"B",-6
"43",43,"C",11
"44",44,"D",1
"45",45,"A",13
"46",46,"B",-2
"47",47,"C",18
"48",48,"D",1
"49",49,"A",28
"50",50,"B",8
"51",51,"C",1
"52",52,"D",15
"53",53,"A",6
"54",54,"B",20
"55",55,"C",12
"56",56,"D",2
"57",57,"A",19
"58",58,"B",20
"59",59,"C",4
"60",60,"D",3
"61",61,"A",-4
"62",62,"B",27
"63",63,"C",7
"64",64,"D",21
"65",65,"A",12
"66",66,"B",19
"67",67,"C",-1
"68",68,"D",21
"69",69,"A",-4
"70",70,"B",-13
"71",71,"C",45
"72",72,"D",6
"73",73,"A",4
"74",74,"B",14
"75",75,"C",5
"76",76,"D",4
"77",77,"A",27
"78",78,"B",9
"79",79,"C",-3
"80",80,"D",8
"81",81,"A",12
"82",82,"B",6
"83",83,"C",0
"84",84,"D",12
"85",85,"A",6
"86",86,"B",30
"87",87,"C",1
"88",88,"D",14
"89",89,"A",6
"90",90,"B",15
"91",91,"C",-8
"92",92,"D",-3
"93",93,"A",2
"94",94,"B",-4
"95",95,"C",18
"96",96,"D",25
"97",97,"A",8
"98",98,"B",16
"99",99,"C",12
"100",100,"D",-2
"101",101,"A",12
"102",102,"B",25
"103",103,"C",6
"104",104,"D",12
"105",105,"A",18
"106",106,"B",16
"107",107,"C",24
"108",108,"D",18
"109",109,"A",-12
"110",110,"B",10
"111",111,"C",13
"112",112,"D",13
"113",113,"A",9
"114",114,"B",18
"115",115,"C",11
"116",116,"D",15
"117",117,"A",3
"118",118,"B",10
"119",119,"C",17
"120",120,"D",13
"121",121,"A",26
"122",122,"B",3
"123",123,"C",22
"124",124,"D",3
"125",125,"A",10
"126",126,"B",9
"127",127,"C",-5
"128",128,"D",18
"129",129,"A",8
"130",130,"B",-4
"131",131,"C",-8
"132",132,"D",4
"133",133,"A",19
"134",134,"B",18
"135",135,"C",-13
"136",136,"D",-4
"137",137,"A",24
"138",138,"B",2
"139",139,"C",16
"140",140,"D",6
"141",141,"A",14
"142",142,"B",6
"143",143,"C",13
"144",144,"D",4
"145",145,"A",-5
"146",146,"B",11
"147",147,"C",9
"148",148,"D",-1
"149",149,"A",3
"150",150,"B",14
"151",151,"C",11
"152",152,"D",25
"153",153,"A",5
"154",154,"B",9
"155",155,"C",28
"156",156,"D",6
"157",157,"A",5
"158",158,"B",2
"159",159,"C",21
"160",160,"D",23
"161",161,"A",14
"162",162,"B",6
"163",163,"C",-7
"164",164,"D",16
"165",165,"A",-3
"166",166,"B",21
"167",167,"C",18
"168",168,"D",9
"169",169,"A",1
"170",170,"B",18
"171",171,"C",19
"172",172,"D",11
"173",173,"A",-8
"174",174,"B",9
"175",175,"C",28
"176",176,"D",12
"177",177,"A",2
"178",178,"B",13
"179",179,"C",5
"180",180,"D",9
"181",181,"A",21
"182",182,"B",27
"183",183,"C",-4
"184",184,"D",19
"185",185,"A",3
"186",186,"B",19
"187",187,"C",22
"188",188,"D",11
"189",189,"A",-15
"190",190,"B",-1
"191",191,"C",16
"192",192,"D",21
"193",193,"A",-7
"194",194,"B",20
"195",195,"C",-11
"196",196,"D",20
"197",197,"A",16
"198",198,"B",16
"199",199,"C",17
"200",200,"D",3
"201",201,"A",25
"202",202,"B",7
"203",203,"C",12
"204",204,"D",10
"205",205,"A",14
"206",206,"B",-5
"207",207,"C",24
"208",208,"D",18
"209",209,"A",-19
"210",210,"B",23
"211",211,"C",6
"212",212,"D",14
"213",213,"A",4
"214",214,"B",13
"215",215,"C",18
"216",216,"D",20
"217",217,"A",30
"218",218,"B",14
"219",219,"C",5
"220",220,"D",-2
"221",221,"A",6
"222",222,"B",13
"223",223,"C",8
"224",224,"D",15
"225",225,"A",0
"226",226,"B",11
"227",227,"C",19
"228",228,"D",19
"229",229,"A",2
"230",230,"B",12
"231",231,"C",4
"232",232,"D",13
"233",233,"A",25
"234",234,"B",9
"235",235,"C",15
"236",236,"D",-2
"237",237,"A",14
"238",238,"B",15
"239",239,"C",-18
"240",240,"D",-5
"241",241,"A",16
"242",242,"B",1
"243",243,"C",31
"244",244,"D",10
"245",245,"A",3
"246",246,"B",18
"247",247,"C",14
"248",248,"D",3
"249",249,"A",11
"250",250,"B",22
"251",251,"C",15
"252",252,"D",-5
"253",253,"A",13
"254",254,"B",7
"255",255,"C",6
"256",256,"D",23
"257",257,"A",6
"258",258,"B",-11
"259",259,"C",-3
"260",260,"D",6
"261",261,"A",26
"262",262,"B",11
"263",263,"C",20
"264",264,"D",-1
"265",265,"A",2
"266",266,"B",13
"267",267,"C",18
"268",268,"D",12
"269",269,"A",12
"270",270,"B",24
"271",271,"C",0
"272",272,"D",-2
"273",273,"A",-11
"274",274,"B",14
"275",275,"C",0
"276",276,"D",3
"277",277,"A",7
"278",278,"B",25
"279",279,"C",27
"280",280,"D",22
"281",281,"A",1
"282",282,"B",17
"283",283,"C",7
"284",284,"D",6
"285",285,"A",5
"286",286,"B",15
"287",287,"C",15
"288",288,"D",12
"289",289,"A",24
